STARTUP_NAME,STARTUP_CONTACT,STARTUP_EMAIL,STARTUP_WEBSITE,STARTUP_ADDRESS,STARTUP_SEGMENT,STARTUP_METODOLOGY,STARTUP_DESCRIPTION,STARTUP_TAGS
ADVISERS,(81)99945-5400,pauloarios@grupoadvit.com.br,www.advisersit.com.br,"Rua Djamlma Faria, 365 - Recife/PE. CEP: 52030190.",AgriTech,Alocação Profissionais,"A AdvisersIT  é uma empresa com forte expertise na área de governança de dados, atuamos em projetos e consultoria com a maioria das soluções de banco de dados existentes no mercado, como: Oracle, SqlServer, MySQL, MaxDB, PostgreSQL e IBM Informix.

	 Nosso compromisso é fornecer um serviço de qualidade, através do monitoramento proativo, garantindo a segurança, disponibilidade e integridade dos dados dos nossos clientes. Acesse nossa página de ""serviços"" e obtenha informações detalhadas sobre todos os serviços da AdvisersIT Database Solutions. Temos um time de DBA´s certificados com larga experiência no mercado em cuidar e manter ambientes de alta criticidade.

","DBA; ,Oracle; ,SQL SERVER; ,MySQL; ,Manutenção de Banco; ,Atendimento DBA; ,lgpd; ,proteção; ,Cloud; ,Backup banco de dados; ,Cloud Security; ,perfomance; "
ADASI SOFTWARE,(81)99122-7268,ricardo@adasi.com.br,www.adasi.com.br,"RUA SUIÇA, 105 - CARUARU/PE. CEP: 55016-630.",HealthTech,IT Outsourcing,"A ADASI Software é uma empresa de desenvolvimento de sistemas, com sede em Caruaru-PE, que trabalha para que o seu negócio tenha uma rotina facilitada, melhorando os processos internos e externos da sua companhia através de aplicações web e mobile para Android e iOS. Afinal, a tecnologia faz parte de praticamente todas as atividades da nossa rotina. No caso de empresas, isso é ainda mais forte.

O fundador, Ricardo Cerqueira, trabalha há mais de 26 anos na área de desenvolvimento de sistemas. Com sua expertise, em 2019, decidiu fundar uma fábrica de softwares, originando o que se tornou a Adasi Software.

O portfólio da empresa engloba uma série de soluções inovadoras para as empresas e órgão públicos, com destaque para o Infocras – sistema de regulação de consultas e exames em saúde pública presente nas Secretarias de Saúde Municipais.

A ADASI Software se responsabiliza pela facilitação do seu negócio. Muito mais do que o desenvolvimento de sistemas e aplicativos, trabalhamos para ajudar na organização, planejamento, competência e, principalmente, nos resultados da sua empresa.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,SAÚDE PÚBLICA; "
Acqio,(81)99675-7154,gustavo@acqio.com.br,www.acqio.com.br,"Rua Domingos José Martins, 75 - Recife/PE. CEP: 50030200.",AgriTech,Alocação Profissionais,A Acqio é uma fintech focada em desenvolver as melhores soluções para empreendedores brasileiros decolarem seus negócios. Desenvolveu um canal de vendas por meio da criação de uma rede de franqueados que representam a marca Acqio em suas regiões. A companhia tem expandido o portfólio de produtos com o lançamento de novas soluções de pagamentos feitas com tecnologia de ponta e atendimento de qualidade.​,"e-commerce; ,fintech; ,saas; ,P&D; ,Produtos financeiros; ,varejo; ,Cloud; "
ACOM TECNOLOGIA,(81)99676-5552,genivaldo.acom@gmail.com,acomnet.com.br,"AV. ARACATI, 169 - CARUARU/PE. CEP: 55016-590.",AgriTech,Alocação Profissionais,"Somos uma empresa que desenvolve softwares para gestão empresarial desde 1998, otimizando a integração dos processos de uma empresa, gerando assim, melhor desempenho e melhores resultados. 

Além de um sistema para atendimento em check-out, venda através de código de barras, TEF discado e Via WEB, com as bandeiras: Redecard, Visa, American Express, Hiper e Tri-Banco.

Fomos além e dispomos de um completo sistema para gerenciamento de uma empresa para melhor performance operacional do seu negócio, além de realizarmos o treinamento dos usuários do software para maior comodidade e assimilação dos ensinamentos.","sistema de gestão; ,DESENVOLVIMENTO WEB; ,SQL SERVER; ,MySQL; ,Manutenção de Banco; ,erp; ,nota fiscal; ,AUTOMAÇÃO; ,SPED; ,TI; ,Cabeamento estruturado; ,Servidores linux e windows; ,Backup banco de dados; "
ACCENTURE,(11)5188-3000,luis.fernando.silva@accenture.com,https://www.accenture.com.br/,"Rua Cais do apolo, 222 - Recife/PE. CEP: 50030230.",AgriTech,Alocação Profissionais,"A Accenture é uma empresa líder global de serviços profissionais que ajuda grandes companhias, governos e outras organizações a construir sua essência digital, otimizar suas operações, acelerar o crescimento das receitas e aprimorar serviços ao cidadão – criando valor tangível com velocidade e escala. 

Somos uma empresa liderada por talento e inovação com 738 mil pessoas atendendo a clientes em mais de 120 países. Tecnologia é hoje uma parte essencial da mudança, e nós somos uma das líderes mundiais a ajudar a impulsionar essa atitude, com fortes relacionamentos no ecossistema. 

Combinamos nossa força em tecnologia com experiência setorial incomparável, expertise funcional e capacidade de entrega global. Somos capazes de entregar resultados exclusivos e tangíveis, graças ao nosso amplo portfólio de serviços, soluções e ativos em Strategy e Consulting, Technology, Operations, Industry X e Accenture Song. 

Estas capacidades, junto com nossa cultura de compartilhar sucesso e o compromisso de gerar valor de 360º, nos permitem construir relações confiáveis e duradouras com nossos clientes e ajudá-los a alcançar o sucesso. Medimos nosso êxito pelo valor 360º que criamos e entregamos a nossos clientes, stakeholders, parceiros e comunidades.",
A10,(81)98742-9118,ivanildo.buarque@a10br.com,a10br.com,"Rua do Apolo, 181 - Recife/PE. CEP: 50030220.",Diversos Mercados,BigData&Analytics,Consultoria em desenvolvimento de projetos de dados.,
4BI,(81)98174-2277,contato@4bi.com.br,https://4bi.com.br/,"Av.Caxangá, 205 - Recife/PE. CEP: 50720-000.",E-Comm/M-Comm,Consultoria em TIC,"No mercado desde 2007, somos uma consultoria especializada em TI voltada para a estratégia do negócio. Desde o início de suas atividades, a 4BI conta com profissionais com conhecimentos variados, focados em gestão de negócios para maximizar o resultado de sua empresa.","consultoria; ,negócios; ,sistema de gestão; ,Gestão de Projetos; "
3WINGS,(81)99971-4667,contato@3wings.com.br,https://www.3wings.com.br/,"Rua do Brum, 455 - GALPAO 0000Recife/PE. CEP: 50030-220.",HealthTech,BPM,"Somos uma HealthTech focada em facilitar soluções tecnológicas dentro de hospitais, de forma a evitar gastos e impactar positivamente na experiência do paciente e dos colaboradores, além de permitir aos gestores que administrem seus recursos da melhor forma possível e facilitando a tomada de decisão. 
Nossos principais produtos são o Fibbo e o Concierge Digital. 
O Fibbo é um gestor digital para monitoramento de pessoas e automação de processos em tempo real. Disponibilizado em forma de portal e mobile, ele permite o acompanhamento em tempo real dos índices e atividades que estão sendo realizadas pararalelamente dentro do hospital, também sendo possível a configuração de alarmes e notificações para evitar grandes atrasos no cumprimento das tarefas. 
O Concierge Digital promove uma melhor Experiência do Paciente através de um canal digital via WhatsApp para solicitações de pedidos do paciente, acompanhante e serviço de satisfação em tempo real.Tudo isso de forma autônoma e com abertura de solicitações automáticas na plataforma 3Wings.
","ANÁLISE DE DADOS; ,eficiência; ,produtividade; ,lean management; ,real time; "
3MS,(81)99239-7670,contato@3ms.net.br,www.3ms.net.br,"Rua Tenente João Cícero, 301 - Recife/PE. CEP: 51020190.",Diversos Mercados,Alocação Profissionais,"Empresa especializada em produtos e serviços na área de tecnologia educacional e gestão pública. Atendemos os setores público e privado em consultoria e desenvolvimento de software. Destaque para sistema: Plataforma de Formação Virtual, Gestão Acadêmica, Gestão de Contratos, Gestão e Controle de Benefícios, Gestão de Auxílio Moradia, Portal de Notícias e Sistemas Auxiliares a contratação Pública.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,ANÁLISE DE DADOS; ,consultoria; ,governança; ,compliance; "
2connect1,(81)99991-2936,lucianoramos@live.com,www.2c1.com.br,"Rua Dona Maria César, 170 - Edifício Luciano Costa, Sala 203Recife/PE. CEP: 50030-140.",RetailTech,MobileApps,"Bens de consumo e varejo é o nosso negócio, sempre buscando inovar com tecnologia a forma como as pessoas compram, viajam e vivem.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; "
Zênite Tech,(83)3044-2750,ricardo.leao@zenitebr.com,www.Zenite.Tech,"Av. Júlia Freire, 1493 - João Pessoa /PB. CEP: 58041-000.",SecurTech,Client Attendance,"A Zênite Tecnologia é uma empresa com atuação nacional e mais de 32 anos de mercado.

Dentre as nossas soluções estão:

•  PABX em nuvem que melhora a qualidade do atendimento aos seus clientes;

• *WhatsApp Multi Atendimento *

* • Controle de Ponto eletrônico; *

* • Controle de Acesso reconhecimento facial; *

* • Câmeras IP ; *","negócios; ,proteção; ,eficiência; ,conectividade; "
YOLO COLIVING,(81)9104-8817,andre.santos@yolocoliving.com.br,yolocoliving.com.br,"AV BARBOSA LIMA, 149 - ANDAR 0003 SALA 312Recife/PE. CEP: 50030-330.",Diversos Mercados,Diversas Techs/Meths,"O Yolo é a proptech de gestão de moradias, referência em geração de experiências positivas no modelo de serviço ao usuário.","negócios; ,vendas; ,compliance; ,conectividade; ,iot; "
Wise Database Solutions,(81)3036-6577,contato@wisedb.com.br,https://www.wisedb.com.br,"Rua Guimarães Peixoto, 75 - Sala 1303 - Empresarial One WayRecife/PE. CEP: 52051305.",AgriTech,Alocação Profissionais,"A Wise Database Solutions é uma empresa especializada em consultoria e projetos de Nuvem e Governança de dados, como grande expertise na elaboração de soluções de proteção de dados e continuidade de negócios, oferecendo aos nossos clientes profissionais certificados e com larga experiência em TI, totalmente preparados para aumentar o nível de segurança e disponibilidade dos dados dos nossos clientes.","ANÁLISE DE DADOS; ,governança; ,proteção; ,lgpd; ,Oracle; ,DBA; ,Sustentação de Banco; ,SQL SERVER; ,MySQL; ,Manutenção de Banco; ,Atendimento DBA; ,nuvem; ,Transformação Figital; ,TI; ,IT Outsourcing; "
WI CONSULTORIA,(81)99221-2692,contato@wiconsultoria.com.br,italorodrigo.com.br,"AV AGAMENON MAGALHAES, 444 - EMPRESARIAL DIFUSORA – 12 ANDAR – SALA 722Caruaru/PE. CEP: 55012-290.",IndusTech,DesenvSW (Cusctom pClis),Empresa voltada para desenvolver soluções para clientes que desejam automatizar processos e serviços através de aplicações web.,"DESENVOLVIMENTO WEB; ,DBA; ,sistema de gestão; ,nuvem; ,internet; ,AUTOMAÇÃO; ,AUTOMAÇÃO COMERCIAL; "
WEEDO.it,(81)99758-3802,victorsa@weedo.it,weedo.it,"Av. Ayrton Senna da Silva, 310 - sala 106Jaboatão dos Guararapes/PE. CEP: 54410-240.",Diversos Mercados,MobileApps,"Empresa de Tecnologia com espertize principal em desenvlvimento de aplicativos móveis e web, com uso de React Native, React, Vue.js, Adonis.js, entre outros.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; "
WebPic,(81)99921-6560,rogaciano@gmail.com,https://webpic.com.br/#!,"Avenida Agamenon Magalhães, 444 - Empresarial Difusora 15a. andar sala 1006/4Caruaru/AC. CEP: 55012-290.",FashionTech,SaaS ,"Somos especialistas em desenvolvimento de software para empresas de confecção.
A WebPic hoje oferece soluções para lojas e indústrias de confecção, hospedagem e infraestrutura digital, ajudando no gerenciamento de sua empresa.",Software confecções vestuario; 
W2D Comunicação,(81)4101-1346,contato@w2dcomunicacao.com.br,www.w2dcomunicacao.com.br,"Rua Capitão Sampaio Xavier, 349 - Sala 03Recife/PE. CEP: 52050-210.",Diversos Mercados,Brand/Mkt/Mkt Digi,"A W2D é uma agência de marketing digital focada em aumento de perfomance. Com mais de 8 anos de mercado, utiliza estrategicamente as plataformas digitais
para posicionar marcas e alavancar resultados.","marketing; ,DESENVOLVIMENTO WEB; ,e-commerce; ,loja virtual; ,negócios; ,experiência do cliente; ,B2B; ,vendas online; ,planejamento estrategico; "
VR SOFTWARE RECIFE,(81)3129-6531,luciano.guerrero@vrrecife.com.br,Vr news,"R PADRE CARAPUCEIRO, 910 - sala 502RECIFE/AC. CEP: 51020-280.",Diversos Mercados,Gestão de Projetos,Somos uma empresa de software para supermercados.,"vendas; ,consultoria; ,negócios; ,eficiência; ,produtividade; ,SQL SERVER; ,MySQL; ,conectividade; ,gestão; ,AUTOMAÇÃO; ,AUTOMAÇÃO COMERCIAL; ,Gestão de Projetos; ,link; ,cobranças; ,sistema de gestão; ,ANÁLISE DE DADOS; ,DESENVOLVIMENTO MOBILE; ,DESENVOLVIMENTO WEB; "
VOLF- INOVAÇÃO DIGITAL,(81)99893-4690,daniel@volf.com.br,www.volf.com.br,"travessa do Tuyuty, 46 - Recife/PE. CEP: 50.030-050.",Diversos Mercados,IntelArtif/MachLea,"A Volf foi fundada por Daniel Freitas. Daniel é designer, mestre em ciências da computação e praticante de Foresight certificado pelo Institute for the Future. Possui 10 anos de experiência em trabalhos e consultorias relacionados à gestão de inovação e de produtos digitais, design thinking, customer development e criação de startups. 

A Volf é proprietária do Datasyn [ www.datasyn.com.br ], uma solução que leva o poder das decisões baseadas em dados aos times de inovação de empresas, Hubs de Inovação, Centros de pesquisa e Investidores. 

Usa Inteligência Artificial, Processamento de Linguagem Natural e Ciência de Dados para compreender o ""Big Data global da inovação”, descobrindo padrões de inovação em textos de sites de startups, investimentos, patentes, e artigos acadêmicos, e gerando insights para estratégias de inovação mais impactantes e escaláveis.

Com isso, ajuda a responder perguntas como:
- Quais são as tendências tecnológicas relacionadas à minha estratégia de inovação?
- Quais tecnologias, problemas ou tópicos estão atraindo mais investimento?
- Que funcionalidades agregar ao meu produto/serviço para me manter inovador?
- Que são as startups mais inovadoras e alinhadas aos meus desafios de inovação e que me ajudarão no processo de transformação digital?","Gestão da inovação; ,Inteligência Artificial; ,Ciência de dados; "
Visagio,(21)2292-3713,contato@visagio.com,www.visagio.com,"TV TUYUTY, 46 - 001Recife/PE. CEP: 50030-050.",Diversos Mercados,Diversas Techs/Meths,A Visagio é uma Plataforma de Transformação de Negócios através de gestão e tecnologia.,
VIITRA INOVACOES TECNOLOGICAS,(81)4101-7433,comercial@viitra.com,www.viitra.com,"Rua Acadêmico Hélio Ramos, 60 - Segundo andarRecife/PE. CEP: 50741-180.",EdTech,SaaS ,"A Viitra Inovações Tecnológicas LTDA é uma empresa privada fundada em 2013, que mantém uma forte conexão com o Centro de Informática (CIn) da Universidade Federal de Pernambuco (UFPE). Esta relação permite à Viitra trabalhar em soluções computacionais de alto impacto social em colaboração com pesquisadores e grupos de pesquisa. A empresa é especializada no fornecimento de soluções nas seguintes áreas:

Soluções Educacionais (Redu)
Plataforma de ensino digital que visa promover o aprendizado em um ambiente interativo e colaborativo. Além de plataforma, dispomos de serviços de assessoria pedagógica personalizada, produção e curadoria de conteúdos digitais e possibilidade de customizações avançadas.

Desenvolvimento de Sistemas e Aplicativos
Somos especializados no desenvolvimento, suporte e manutenção de sistemas e aplicativos personalizados, projetados para atender às necessidades específicas de cada cliente. Empregamos as mais recentes tecnologias e metodologias para criar soluções robustas, escaláveis e intuitivas.

Customização e Implantação de E-commerce
Garantimos uma vitrine completa, integrações eficientes com os principais marketplaces e uma gestão centralizada de vendas. Além disso, nossos clientes contam com recursos avançados, desde a criação do e-commerce do zero até a transformação de lojas físicas em versões virtuais, permitindo vendas 24 horas por dia.

Ciência de Dados
Transformamos grandes volumes de dados brutos em insights acionáveis por meio de avançadas técnicas de data warehousing e machine learning. Desenvolvemos relatórios detalhados e dashboards intuitivos, garantindo que as empresas tenham acesso imediato às informações críticas.","DESENVOLVIMENTO WEB; ,DESENVOLVIMENTO MOBILE; ,educação; ,Educação corporativa; ,e-commerce; ,I.A.; ,B.I.; ,AVA; ,DATA SCIENCE; ,redu; "
